発注者,品名,内容,サイズ,産地,資材名1,資材数1,資材名2,資材数2,資材名3,資材数3,備考
320,人参,3P,.*,.*,FG1930,1,コニクリッパー赤袋用,1,,,
ビッグ,人参,3P,.*,.*,絵付き人参袋,1,コニクリッパー赤袋用,1,,,
(生協|320|ビッグ),人参,(3P|400g),.*,北海道,産地シール北海道,1,,,,,
(生協|320|ビッグ),人参,(3P|400g),.*,千葉県,産地シール千葉,1,,,,,
(生協|320|ビッグ),人参,(3P|400g),.*,熊本県,産地シール熊本,1,,,,,
生協,人参,(3P|400g),.*,.*,コニクリッパー赤袋用,1,,,,,
901,茄子,5P,.*,.*,いきいき茄子袋,1,コニクリッパー赤袋用,1,,,
901,茄子,8P,.*,.*,FG2535,1,コニクリッパー赤袋用,1,,,
901,茄子,(5P|8P),.*,茨城県,産地シール茨城,1,,,,,
901,茄子,(5P|8P),.*,栃木県,産地シール栃木,1,,,,,
901,茄子,(5P|8P),.*,群馬県,産地シール群馬,1,,,,,
885,軟白葱,(2P|3P),.*,.*,軟白葱2ｐ,1,産地シール北海道,1,,,
620,ニラ,袋入れ,.*,.*,FG1450,1,地物シール,1,,,
321,レタス,フィルム巻き,.*,北海道,地物シール,1,,,,,
321,大根,1/2カット,.*,.*,バックシーリング(緑）,1,,,,,
88,ピーマン,4～5P,.*,.*,ピーマン袋（のり付）,1,,,,,
.+,(ふじ|サンふじ),2Pトレー,.*,.*,黒トレーLL1125,1,フルーツキャップW-90FXピンク,2,,,
.+,ジョナゴールド,2Pトレー,.*,.*,黒トレーLL1125,1,フルーツキャップW-90FX白,2,,,
.+,王林,2Pトレー,.*,.*,黒トレーLL1125,1,フルーツキャップW-90FX緑,2,,,
885,玉葱,3Pネット,.*,.*,コニクリッパー黄ネット用,1,,,,,
.+,(セミノール|ブラッドオレンジ|せとか|清美|マーコット|ミネオラ|オレンジ|マンダリン|タンカン|スイートスプリング|れいこう|はるか|はまさき|紅香|津の輝|せとみ|サンクィン|タンゴール|庄内柿|柿),6Pトレー,.*,.*,黒トレー1833,1,フルーツキャップW-90FX白,6,,,
.+,(セミノール|ブラッドオレンジ|せとか|清美|マーコット|ミネオラ|オレンジ|マンダリン|タンカン|スイートスプリング|れいこう|はるか|はまさき|紅香|津の輝|せとみ|サンクィン|タンゴール|庄内柿|柿),5Pトレー,.*,.*,黒トレー1833,1,フルーツキャップW-90FX白,5,,,発注者 .+ はいずれかの記入があればマッチする
.+,(セミノール|ブラッドオレンジ|せとか|清美|マーコット|ミネオラ|オレンジ|マンダリン|タンカン|スイートスプリング|れいこう|はるか|はまさき|紅香|津の輝|せとみ|サンクィン|タンゴール|庄内柿|柿),4Pトレー,.*,.*,黒トレーA20-25,1,フルーツキャップW-90FX白,4,,,
